19.0,22.78,-138.21,21.65,-8.63,1.0
22.0,23.56,-134.51,24.37,-4.78,1.0
21.0,23.74,-137.66,23.23,-7.97,1.0
21.0,23.07,-138.4,23.76,-9.38,0.0
25.0,27.73,-134.11,27.08,-4.36,2.0
22.0,24.79,-135.76,23.42,-6.33,1.0
19.0,20.21,-135.15,22.97,-6.19,1.0
21.0,23.81,-134.49,24.32,-5.22,1.0
21.0,23.23,-137.55,23.12,-8.14,1.0
22.0,24.36,-135.88,23.73,-5.91,1.0
23.0,26.17,-134.77,26.15,-5.28,1.0
24.0,26.29,-135.61,26.46,-5.84,1.0
20.0,22.43,-137.12,23.86,-8.02,1.0
22.0,24.14,-136.11,25.0,-6.68,1.0
22.0,25.68,-134.91,24.02,-5.51,1.0
23.0,25.49,-136.23,25.06,-6.84,1.0
21.0,23.91,-136.33,23.18,-7.47,1.0
23.0,25.43,-134.59,24.99,-5.05,1.0
24.0,26.39,-135.65,26.08,-6.12,1.0
21.0,25.33,-135.12,24.11,-5.28,1.0
24.0,28.71,-135.23,25.25,-5.91,1.0
25.0,27.26,-134.99,25.44,-5.81,1.0
22.0,24.95,-134.12,25.27,-5.41,2.0
21.0,23.63,-136.38,24.15,-6.84,1.0
23.0,24.37,-134.39,24.21,-4.84,1.0
22.0,24.78,-134.48,24.72,-5.08,1.0
23.0,25.8,-137.25,25.3,-7.68,1.0
22.0,25.65,-136.51,25.09,-6.59,1.0
24.0,27.11,-136.27,25.2,-6.45,1.0
22.0,24.67,-135.19,23.84,-5.75,1.0
25.0,27.19,-134.65,27.38,-5.74,1.0
22.0,23.29,-136.78,23.35,-7.33,1.0
22.0,26.18,-137.98,23.49,-8.1,1.0
20.0,22.6,-136.31,22.78,-7.81,1.0
20.0,22.74,-137.52,23.38,-8.33,1.0
24.0,26.76,-135.39,26.57,-6.22,1.0
22.0,24.81,-137.48,23.36,-8.01,1.0
18.0,22.04,-133.95,21.6,-4.59,2.0
22.0,24.71,-136.58,24.09,-6.92,1.0
21.0,23.67,-138.02,25.5,-8.11,1.0
23.0,25.24,-136.38,24.22,-6.91,1.0
20.0,24.39,-137.29,23.22,-8.28,1.0
24.0,25.55,-135.6,25.63,-6.21,1.0
23.0,25.71,-135.02,25.45,-5.69,1.0
22.0,25.49,-134.05,26.47,-5.0,2.0
22.0,25.1,-136.08,23.61,-6.79,1.0
20.0,22.48,-138.25,21.57,-10.07,1.0
22.0,25.47,-134.51,24.82,-5.47,1.0
21.0,24.14,-134.08,24.73,-4.9,2.0
22.0,24.54,-136.24,24.23,-6.36,1.0
23.0,26.64,-134.55,25.92,-5.63,1.0
19.0,22.22,-134.76,22.0,-5.6,1.0
26.0,27.99,-134.29,27.5,-5.18,1.0
24.0,26.47,-135.7,25.15,-6.88,1.0
25.0,29.15,-134.45,27.01,-5.02,1.0
21.0,22.51,-138.59,23.75,-8.98,0.0
25.0,26.61,-135.09,26.52,-5.81,1.0
21.0,24.14,-136.52,24.31,-7.09,1.0
22.0,25.04,-137.22,23.99,-8.51,1.0
24.0,25.16,-136.11,25.53,-7.89,1.0
23.0,24.79,-135.27,25.13,-5.75,1.0
24.0,27.87,-133.88,26.39,-4.53,2.0
22.0,24.46,-134.37,24.46,-5.07,1.0
24.0,26.58,-135.33,25.49,-5.82,1.0
20.0,23.54,-134.57,23.74,-5.11,1.0
21.0,23.79,-134.84,25.52,-5.95,1.0
21.0,24.69,-138.41,24.0,-9.39,1.0
23.0,26.88,-135.0,25.57,-6.08,1.0
22.0,24.3,-134.17,23.97,-4.7,2.0
24.0,26.03,-134.79,26.3,-5.59,1.0
22.0,24.56,-135.44,24.57,-5.88,1.0
21.0,25.22,-134.79,24.49,-4.85,1.0
25.0,27.11,-135.22,27.81,-5.72,1.0
23.0,24.57,-135.59,25.84,-5.47,1.0
24.0,26.73,-136.4,25.43,-6.99,1.0
21.0,24.64,-135.86,22.79,-6.26,1.0
22.0,24.12,-135.0,24.67,-5.93,1.0
23.0,26.91,-134.77,24.79,-5.51,1.0
23.0,26.37,-134.12,25.26,-4.61,1.0
24.0,27.17,-135.29,26.22,-5.7,1.0
21.0,24.19,-136.74,22.99,-7.6,1.0
22.0,24.73,-136.57,23.99,-7.62,1.0
25.0,27.46,-134.54,26.95,-5.15,1.0
22.0,23.91,-135.37,24.35,-6.24,1.0
21.0,23.65,-138.14,23.2,-8.77,1.0
25.0,27.69,-134.37,26.93,-4.72,1.0
22.0,25.45,-134.41,25.91,-6.26,1.0
22.0,25.39,-136.03,25.14,-6.51,1.0
24.0,27.35,-134.84,26.15,-4.95,1.0
23.0,24.3,-136.19,25.85,-6.5,1.0
23.0,26.79,-136.75,23.74,-8.26,1.0
21.0,23.95,-136.72,25.14,-7.89,1.0
19.0,20.94,-136.0,21.13,-6.84,1.0
20.0,22.66,-136.8,23.19,-7.86,1.0
23.0,25.46,-136.15,24.78,-6.74,1.0
20.0,21.3,-136.34,22.08,-7.59,1.0
21.0,23.77,-133.9,23.83,-4.55,2.0
22.0,24.92,-136.85,24.1,-7.2,1.0
25.0,28.13,-134.45,26.36,-4.98,1.0
22.0,25.5,-136.97,23.86,-7.8,1.0
25.0,28.09,-135.3,27.05,-5.83,1.0
21.0,24.33,-137.69,23.46,-8.4,1.0
20.0,22.05,-137.99,23.42,-8.69,1.0
24.0,25.57,-136.27,25.79,-6.85,1.0
21.0,23.58,-133.96,24.03,-4.26,1.0
21.0,23.28,-138.19,23.65,-8.43,1.0
21.0,24.29,-137.56,22.95,-7.6,1.0
22.0,24.46,-137.22,23.52,-7.99,1.0
23.0,26.0,-136.02,24.13,-6.78,1.0
21.0,23.39,-138.04,23.76,-8.75,1.0
19.0,22.02,-135.0,23.67,-5.71,1.0
19.0,22.82,-135.76,22.52,-6.33,1.0
21.0,24.26,-138.1,23.76,-8.88,1.0
23.0,24.89,-137.34,24.59,-8.16,1.0
21.0,24.79,-138.97,23.09,-9.62,0.0
23.0,25.65,-134.35,25.92,-4.79,1.0
25.0,29.12,-134.3,27.9,-4.49,1.0
22.0,24.4,-134.97,23.58,-5.45,1.0
21.0,22.71,-136.22,24.56,-6.51,1.0
22.0,23.84,-135.56,23.39,-6.76,1.0
22.0,24.46,-134.41,23.76,-5.42,1.0
23.0,25.87,-133.87,25.25,-4.21,2.0
21.0,25.09,-135.89,23.85,-6.53,1.0
23.0,24.45,-134.06,24.86,-4.25,2.0
20.0,21.89,-136.47,22.89,-7.06,1.0
24.0,26.65,-135.94,26.23,-7.01,1.0
25.0,29.06,-134.42,27.44,-5.0,1.0
25.0,28.21,-135.11,26.33,-6.4,1.0
20.0,23.79,-138.5,23.16,-9.11,0.0
20.0,22.37,-135.75,23.76,-6.44,1.0
21.0,23.61,-136.22,23.19,-6.66,1.0
22.0,24.63,-134.31,24.2,-5.23,1.0
26.0,28.86,-134.02,27.1,-4.76,2.0
23.0,27.01,-135.59,26.13,-6.42,1.0
21.0,24.15,-137.02,23.19,-7.69,1.0
22.0,25.53,-137.02,24.09,-7.04,1.0
21.0,23.73,-138.07,22.36,-8.62,1.0
23.0,24.77,-134.18,25.48,-4.75,2.0
24.0,27.08,-135.9,27.15,-6.48,1.0
20.0,22.93,-139.21,21.65,-9.54,0.0
26.0,28.17,-134.41,27.07,-5.71,1.0
22.0,25.41,-135.34,24.17,-5.86,1.0
22.0,24.49,-134.02,25.4,-5.09,2.0
20.0,23.34,-136.1,23.1,-7.49,1.0
19.0,21.65,-135.15,21.98,-6.15,1.0
25.0,28.3,-134.28,27.97,-5.13,1.0
24.0,26.63,-134.56,24.59,-5.48,1.0
25.0,28.41,-134.51,28.44,-5.46,1.0
25.0,27.92,-134.53,25.85,-5.38,1.0
23.0,25.99,-135.4,25.69,-6.43,1.0
23.0,26.86,-135.22,25.27,-6.63,1.0
24.0,26.45,-136.49,26.9,-6.83,1.0
22.0,25.21,-134.03,24.0,-5.13,2.0
23.0,25.08,-134.22,25.26,-4.87,1.0
23.0,25.9,-135.58,26.2,-6.57,1.0
21.0,23.23,-136.09,24.34,-6.82,1.0
20.0,23.27,-139.65,21.34,-10.39,0.0
21.0,23.94,-134.47,25.31,-4.81,1.0
23.0,24.64,-133.99,25.84,-4.45,2.0
21.0,23.59,-135.61,24.62,-6.08,1.0
21.0,23.67,-138.27,22.09,-8.81,1.0
22.0,25.25,-135.6,24.24,-6.02,1.0
20.0,22.0,-136.27,22.09,-6.5,1.0
21.0,23.23,-136.26,23.78,-6.92,1.0
24.0,27.73,-134.19,25.77,-4.55,1.0
26.0,28.63,-134.11,27.96,-4.36,2.0
23.0,26.65,-135.66,25.42,-5.95,1.0
21.0,24.44,-137.98,23.22,-8.38,1.0
22.0,24.96,-134.91,25.4,-5.05,1.0
22.0,24.09,-134.67,24.67,-5.44,1.0
23.0,25.58,-136.86,24.04,-7.04,1.0
23.0,24.9,-134.79,24.87,-5.52,1.0
24.0,26.66,-133.96,26.59,-4.33,2.0
23.0,25.82,-135.92,24.66,-6.67,1.0
23.0,24.5,-133.88,25.08,-4.82,2.0
23.0,24.69,-134.29,25.29,-4.45,1.0
23.0,25.96,-136.58,24.64,-7.05,1.0
21.0,22.72,-139.55,21.92,-10.36,0.0
22.0,24.89,-136.79,22.99,-7.82,1.0
25.0,27.87,-133.97,26.83,-4.63,2.0
